Pais,gastoedu
España,4.21
Alemania,4.8
Reino Unido,5.49
Francia,5.46
Italia,3.83
Portugal,4.88
Estados Unidos,4.96
Japon,3.19
China,1.89
Andorra,3.23
Emiratos Árabes Unidos,1.11
Afganistan,4.06
Antigua y Barbuda,2.52
Albania,2.47
Armenia,2.71
Angola,3.42
Argentina,5.46
Austria,5.5
Australia,5.27
Azerbaiyan,2.47
Barbados,4.66
Bangladesh,1.99
Belgica,6.55
Burkina Faso,6.04
Bulgaria,4.08
Bahrein,2.33
Burundi,5.01
Benin,4.04
Brunei,4.43
Bolivia,7.29
Brasil,6.24
Bahamas,2.23
Butan,6.64
Botswana,9.63
Bielorrusia,4.79
Belice,7.38
Canada,5.27
Republica Democratica del Congo,1.45
Republica Centroafricana,1.11
Republica del Congo,3.64
Suiza,5.11
Costa de Marfil,4.37
Chile,5.4
Camerun,3.15
Colombia,4.5
Costa Rica,7.03
Cuba,12.84
Cabo Verde,5.17
Chipre,6.29
Republica Checa,5.59
Yibuti,5.56
Dinamarca,7.63
Dominica,3.39
Republica Dominicana,3.74
Argelia,4.34
Ecuador,5
Estonia,5.17
Egipto,3.76
Eritrea,2.13
Etiopia,4.74
Finlandia,6.9
Fiyi,3.88
Estados Federados de Micronesia,12.46
Gabon,2.67
Granada,3.17
Georgia,3.85
Ghana,3.99
Gambia,2.43
Guinea,2.57
Guinea Ecuatorial,0.72
Grecia,3.96
Guatemala,2.93
Guinea-Bissau,2.13
Guyana,5.89
Hong Kong,3.32
Honduras,6.08
Croacia,4.56
Haiti,2.78
Hungria,4.71
Indonesia,3.58
Irlanda,3.72
Israel,5.85
India,3.84
Iraq,3.55
Iran,3.96
Islandia,7.46
Jamaica,5.41
Jordania,3.59
Kenia,5.32
Kirguistan,6.03
Camboya,2.16
Kiribati,11.99
Comoras,2.49
San Cristobal y Nieves,2.61
Corea del Sur,4.59
Kuwait,3.76
Kazajistan,2.75
Laos,2.94
Libano,2.43
Santa Lucia,3.68
Liechtenstein,2.56
Sri Lanka,2.11
Liberia,2.58
Lesotho,6.51
Lituania,4.01
Luxemburgo,3.96
Letonia,4.72
Libia,2.26
Marruecos,6.25
Monaco,1.46
Moldavia,5.51
Madagascar,3.23
Islas Marshall,12.24
Macedonia del Norte,3.3
Mali,3.79
Birmania - Myanmar,1.97
Mongolia,4.09
Mauritania,2.63
Malta,5.2
Mauricio,4.83
Maldivas,4.07
Malawi,4.71
Mexico,4.91
Malasia,4.53
Mozambique,5.6
Namibia,3.1
Niger,4.92
Nigeria,3.06
Nicaragua,4.34
Paises Bajos,5.48
Noruega,7.98
Nepal,5.16
Nauru,4.91
Nueva Zelanda,6.44
Oman,6.67
Panama,3.16
Peru,3.72
Papua Nueva Guinea,1.93
Filipinas,2.65
Pakistan,2.9
Polonia,4.64
Estado de Palestina,5.25
Palau,7.58
Paraguay,3.44
Catar,2.86
Rumania,2.97
Serbia,3.72
Rusia,3.74
Ruanda,3.11
Arabia Saudita,5.14
Islas Salomon,9.86
Seychelles,4.42
Sudan,2.22
Suecia,7.67
Singapur,2.85
Eslovenia,4.8
Eslovaquia,3.9
Sierra Leona,7.14
San Marino,3.15
Senegal,4.65
Somalia,1.28
Sudan del Sur,0.98
Santo Tome y Principe,5.15
El Salvador,3.6
Siria,5.13
Suazilandia,7.13
Chad,2.24
Togo,5.43
Tailandia,4.12
Tayikistan,5.23
Timor Oriental,4.13
Turkmenistan,3.05
Tunez,6.6
Tonga,3.91
Turquia,4.29
Trinidad y Tobago,3.14
Tuvalu,3.73
Tanzania,3.7
Ucrania,5.41
Uganda,2.52
Uruguay,4.84
Uzbekistan,5.28
San Vicente y las Granadinas,5.68
Venezuela,6.87
Vietnam,4.17
Vanuatu,4.7
Samoa,4.08
Yemen,5.15
Sudafrica,6.16
Zambia,4.67
Zimbabue,4.6
