Pais,profxes
Afganistan,33.50124
Angola,26.76619
Albania,11.19927
Andorra,8.01599
Argentina,9.54885
Armenia,8.01689
Antigua y Barbuda,9.29704
Australia,
Austria,9.32983
Burundi,26.59842
Belgica,8.98821
Benin,10.99168
Burkina Faso,23.11995
Bangladesh,35.09524
Bulgaria,12.63651
Bahrein,10.23948
Bahamas,12.48097
Bosnia y Herzegovina,9.1229
Belarus,8.56276
Belice,16.72317
Bermudas,6.33229
Bolivia,18.49627
Brasil,16.72391
Barbados,17.93859
Brunei,8.26843
Bhutan,10.81456
Botswana,
Republica Centroafricana,31.63737
Canada,
Suiza,9.82943
Islas del Canal,
Chile,18.36688
China,13.25879
Côte d'Ivoire,27.28114
Camerun,19.25706
Colombia,25.91073
Comoras,8.30834
Cabo Verde,15.42052
Costa Rica,12.42779
Cuba,9.63133
Curacao,
Islas Caiman,10.9653
Chipre,8.31131
Republica Checa,11.54847
Alemania,11.97424
Yibuti,25.41709
Dominica,10.69423
Dinamarca,11.29034
Republica Dominicana,18.64652
Argelia,
Ecuador,20.62112
Egipto,15.16281
Eritrea,35.02165
España,11.56883
Estonia,9.18187
Etiopia,40.35064
Finlandia,13.57979
Fiyi,19.2926
Francia,12.9392
Islas Feroe,
Gabon,
Reino Unido,16.61873
Georgia,7.57537
Ghana,16.01642
Gibraltar,15.04762
Guinea,33.13554
Gambia,
Guinea-Bissau,
Guinea Ecuatorial,
Grecia,8.55985
Granada,12.81206
Groenlandia,
Guatemala,10.49312
Guam,
Guyana,20.29138
Hong Kong,11.22247
Honduras,16.65963
Croacia,6.73221
Haiti,
Hungria,10.01652
India,28.52287
Irlanda,
Iran,19.00886
Iraq,
Islandia,
Israel,
Italia,9.98461
Jamaica,16.69828
Jordania,12.26127
Japon,11.11967
Kazajistan,6.95898
Kenia,
Kirguistan,10.64648
Camboya,
Kiribati,
Saint Kitts y Nevis,7.9222
Corea del Sur,13.26544
Kuwait,7.58836
Libano,7.67398
Liberia,18.39079
Libia,
Santa Lucia,11.14556
Liechtenstein,9.55752
Sri Lanka,17.52875
Lesotho,25.34293
Lituania,7.80821
Luxemburgo,8.82794
Letonia,8.2712
Monaco,8.54364
Republica de Moldova,9.86318
Madagascar,19.29784
Maldivas,
Mexico,16.85759
Islas Marshall,
Macedonia del Norte,8.74033
Mali,17.43224
Malta,7.11247
Myanmar,27.24679
Montenegro,
Mongolia,14.49262
Mozambique,36.54379
Mauritania,25.9167
Mauricio,10.9886
Malawi,72.31002
Malasia,11.40208
Namibia,
Nueva Caledonia,
Niger,29.73171
Nigeria,23.19708
Nicaragua,30.83047
Paises Bajos,14.51694
Noruega,8.57685
Nepal,28.82411
Nauru,24.8
Nueva Zelanda,13.62875
Oman,10.21867
Pakistan,20.39658
Panama,13.5809
Peru,14.20042
Filipinas,23.88062
Palau,
Papua Nueva Guinea,34.2964
Polonia,9.09854
Puerto Rico,17.15997
Portugal,9.51599
Paraguay,18.4041
Catar,11.04303
Rumania,12.07981
Rusia,8.76378
Ruanda,28.24773
Arabia Saudita,11.52893
Sudan,
Senegal,18.88356
Singapur,11.47558
Islas Salomon,25.92408
Sierra Leona,22.04465
El Salvador,27.55579
San Marino,5.84099
Somalia,
Serbia,7.946
Sudan del Sur,27.47489
Santo Tome y Principe,24.82051
Suriname,11.97658
Republica Eslovaca,11.06981
Eslovenia,9.69943
Suecia,13.07043
Eswatini,15.54522
Seychelles,10.7789
Republica Arabe Siria,
Chad,27.13412
Togo,26.24584
Tailandia,25.94603
Tayikistan,15.43893
Turkmenistan,
Tonga,14.5488
Trinidad y Tobago,
Tunez,13.62495
Turquia,17.34797
Tuvalu,8.64286
Tanzania,20.86254
Uganda,
Ucrania,7.33711
Uruguay,12.65841
Estados Unidos,14.62452
Uzbekistan,10.32977
San Vicente y las Granadinas,13.8727
Venezuela,
Vanuatu,20.568
Samoa,21.46821
Kosovo,
Yemen,
Sudafrica,27.61705
Zambia,
Zimbabue,22.48353
